arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0259,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0260,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0261,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0262,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0263,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0264,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0265,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0266,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_minimal,0,ow14-s0001,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0002,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_minimal,0,ow14-s0003,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0004,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0005,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0006,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0007,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0008,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0009,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0010,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0011,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0012,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0013,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_minimal,0,ow14-s0014,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0015,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_minimal,0,ow14-s0016,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0017,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0018,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0019,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0020,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0021,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0022,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0023,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0024,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_minimal,0,ow14-s0025,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0026,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0027,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0028,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0029,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_minimal,0,ow14-s0030,1.0,1.0,1.0,1.0,positive,1,1,1
